t,x,p
0.0,0.25,0.0
0.10002000400080016,0.29428478493396804,0.8845408052305447
0.20004000800160032,0.42596646506559904,1.7544613302975938
0.3000600120024005,0.6437837479576372,2.596430263583419
0.40008001600320064,0.9442383449855623,3.378577922428212
0.5001000200040008,1.3161268646780748,4.023364278096515
0.600120024004801,1.7403101830020253,4.407296454010862
0.7001400280056012,2.182667270262753,4.34085411272717
0.8001600320064013,2.586301885029057,3.611852014648955
0.9001800360072014,2.880345135504548,2.1312034061733907
1.0002000400080016,2.9973179081753507,0.15064998376677563
1.1002200440088017,2.9089661170043386,-1.8561163771768463
1.200240048009602,2.638513972119974,-3.4538329684937006
1.3002600520104022,2.2424034621866658,-4.3394836650185376
1.4002800560112023,1.792567123179982,-4.548036973113727
1.5003000600120024,1.3478113659108502,-4.2839034442272945
1.6003200640128026,0.9444958583016956,-3.7503182419814385
1.7003400680136027,0.6017050969637997,-3.0899297466487554
1.8003600720144028,0.3280335173344362,-2.376252220991686
1.900380076015203,0.12684816927086656,-1.6470918631729785
2.000400080016003,-0.0014167883981026086,-0.9171452586199027
2.1004200840168035,-0.057032363222721955,-0.19579007251108882
2.2004400880176034,-0.04120381263991332,0.5086781194163459
2.3004600920184037,0.04398904696554723,1.1883209038136795
2.400480096019204,0.19559184026102977,1.8355570297205572
2.500500100020004,0.4089820008413651,2.4401173550267927
2.6005201040208044,0.6809765046993475,2.9850697707682423
2.7005401080216043,1.0047117934976795,3.4321956951981933
2.8005601120224046,1.3652370068049247,3.7136930604327283
2.9005801160232045,1.7395080408343935,3.732164617843062
3.000600120024005,2.096387548444155,3.3606179380555496
3.100620124024805,2.393663195966142,2.4842101011966906
3.200640128025605,2.579200525588607,1.1697927733566043
3.3006601320264055,2.6181755068006023,-0.4019333213247257
3.4006801360272054,2.4999146622761366,-1.9363907478515268
3.500700140028006,2.243115317868015,-3.1338588586607043
3.6007201440288057,1.8878299469256712,-3.870133572316732
3.700740148029606,1.4821633661028994,-4.184078999810559
3.800760152030406,1.0606088959124254,-4.205860259811002
3.9007801560312063,0.6459402047265139,-4.0678667177135335
4.000800160032006,0.2488722411048132,-3.8646675067514886
4.100820164032807,-0.12665424198844266,-3.640927053905993
4.200840168033607,-0.4791031660970756,-3.406460485771635
4.300860172034407,-0.8074296825067793,-3.1446552456263888
4.400880176035207,-1.1060472686276484,-2.8144856618079928
4.500900180036007,-1.3664750337074323,-2.381154974641473
4.6009201840368075,-1.5779814504114091,-1.826299504880988
4.700940188037608,-1.7279183216624026,-1.1479939590322215
4.800960192038408,-1.8056315101500366,-0.38734941108432985
4.900980196039208,-1.8061226665516255,0.3735651709827843
5.001000200040008,-1.732613230303733,1.0651463234496703
5.101020204040808,-1.596290028151487,1.6317976778029986
5.201040208041609,-1.411830036059018,2.032391400220787
5.301060212042408,-1.1956196867589026,2.2632715542743918
5.4010802160432085,-0.9637306276772226,2.3443313354446067
5.501100220044009,-0.7301952831637081,2.3087432775247185
5.601120224044809,-0.5048541426607921,2.183304103978139
5.70114022804561,-0.2956609441933038,1.989676556168084
5.801160232046409,-0.10861406223867928,1.742348152404195
5.901180236047209,0.05143915088134915,1.4486779545171102
6.00120024004801,0.1798996869344316,1.1121018540302121
6.10122024404881,0.27260710376577457,0.7361801574253097
6.20124024804961,0.3258566815470959,0.32485596572665254
6.30126025205041,0.3363994227766258,-0.11754482549908385
6.40128025605121,0.3016472279324397,-0.5852355991959914
6.501300260052011,0.21927278293757055,-1.0722094704865976
6.601320264052811,0.08706417855792781,-1.5739970358530961
6.7013402680536105,-0.09614892230194466,-2.0839425950556163
6.801360272054411,-0.33047688895152905,-2.593121455501409
