t,r
0.0,0.1487763497700334
0.05,0.15094523986751446
0.1,0.15338261745272205
0.15000000000000002,0.15614301377221163
0.2,0.15926045363809238
0.25,0.16274335323033487
0.30000000000000004,0.16657160904564694
0.35000000000000003,0.1706965011160413
0.4,0.17504358727529637
0.45,0.17951823434301772
0.5,0.18401299738546975
0.55,0.18841584248209509
0.6000000000000001,0.19261817731354786
0.65,0.19652180396734062
0.7000000000000001,0.20004418853726294
0.75,0.20312178552182403
0.8,0.20571140831958998
0.8500000000000001,0.20778987850326763
0.9,0.2093523231854024
0.9500000000000001,0.2104095295306052
1.0,0.21098475657518814
1.05,0.21111035697921723
1.1,0.21082447297567253
1.1500000000000001,0.21016801352145156
1.2000000000000002,0.20918204253858227
1.25,0.20790566287275405
1.3,0.20637443647117132
1.35,0.2046193462411722
1.4000000000000001,0.2026662729815824
1.4500000000000002,0.2005359341859074
1.5,0.19824421190811156
1.55,0.19580277274479665
1.6,0.19321990681981652
1.6500000000000001,0.19050147356727087
1.7000000000000002,0.18765191022877944
1.75,0.18467524925268372
1.8,0.1815761216094959
1.85,0.17836076608074786
1.9000000000000001,0.17503804498690534
1.9500000000000002,0.1716204812380583
2.0,0.16812532759149826
2.0500000000000003,0.16457560991712353
2.1,0.1610010756134536
2.15,0.15743890238482022
2.2,0.153933959981559
2.25,0.15053839878918748
2.3000000000000003,0.1473102668317873
2.35,0.14431096372873203
2.4000000000000004,0.14160141220214514
2.45,0.13923703181839467
2.5,0.13726198975976897
2.5500000000000003,0.1357034063713521
2.6,0.13456655763796735
2.6500000000000004,0.13383201599046912
2.7,0.13345547933356422
2.75,0.1333704592930897
2.8000000000000003,0.13349340292903916
2.85,0.13373032935594853
2.9000000000000004,0.1339838387812231
2.95,0.13415946405423046
3.0,0.13417064007947987
3.0500000000000003,0.13394196524327853
3.1,0.13341080113798418
3.1500000000000004,0.1325275485644475
3.2,0.13125507791763724
3.25,0.1295678510046962
3.3000000000000003,0.12745124549719383
3.35,0.12490152226326123
3.4000000000000004,0.12192679163515889
3.45,0.11854926996657081
3.5,0.11480909162605875
3.5500000000000003,0.11076993802088339
3.6,0.10652672540854338
3.6500000000000004,0.10221542181423397
3.7,0.09802446462411783
3.75,0.09420576021764158
3.8000000000000003,0.09108033323181235
3.85,0.08902969791450592
3.9000000000000004,0.08846195949289225
3.95,0.08974846450432966
4.0,0.09314668660454846
4.05,0.09874484323039645
